trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,subject_id,session,age,gender,date
0,5,baseline,baseline,0,1,27,46,3,left,right,2,1004.1563510894775,False,True,2000.0,250.0,2010.8962042331696,5.266952991485596,no,11631,1,57,F,2026-04-07_13-47-08
1,5,baseline,baseline,1,1,27,46,3,left,right,2,557.1911334991455,False,True,2000.0,250.0,2015.7142360210419,10.084984064102173,no,11631,1,57,F,2026-04-07_13-47-08
2,5,baseline,baseline,2,1,27,46,3,left,right,2,576.8027305603027,False,True,2000.0,250.0,2020.5524153709412,14.923163414001465,no,11631,1,57,F,2026-04-07_13-47-08
3,5,baseline,baseline,3,1,27,46,3,right,left,2,723.3407497406006,False,False,2000.0,250.0,2025.5370247364044,19.9077730178833,no,11631,1,57,F,2026-04-07_13-47-08
4,5,baseline,baseline,4,1,27,46,3,right,left,2,728.4376621246338,False,False,2000.0,250.0,2030.5263812541962,24.89712929725647,no,11631,1,57,F,2026-04-07_13-47-08
5,5,baseline,baseline,5,1,27,46,3,left,right,1,1169.539213180542,True,True,2000.0,250.0,2035.9566986560822,30.327446699142456,no,11631,1,57,F,2026-04-07_13-47-08
6,5,baseline,baseline,6,1,27,46,3,left,right,1,528.2511711120605,True,True,2000.0,250.0,2040.745745420456,35.116493463516235,no,11631,1,57,F,2026-04-07_13-47-08
7,5,baseline,baseline,7,1,27,46,3,right,left,1,657.2623252868652,True,True,2000.0,250.0,2045.6635224819183,40.03427052497864,no,11631,1,57,F,2026-04-07_13-47-08
8,5,baseline,baseline,8,1,27,46,3,left,right,1,489.1664981842041,True,False,2000.0,250.0,2050.4140405654907,44.78479051589966,no,11631,1,57,F,2026-04-07_13-47-08
9,5,baseline,baseline,9,1,27,46,3,right,left,2,560.0602626800537,False,False,2000.0,250.0,2055.2353971004486,49.60614538192749,no,11631,1,57,F,2026-04-07_13-47-08
10,5,baseline,baseline,10,1,27,46,3,right,left,1,1129.6923160552979,True,True,2000.0,250.0,2060.62685918808,54.997607469558716,no,11631,1,57,F,2026-04-07_13-47-08
11,5,baseline,baseline,11,1,27,46,3,right,left,1,674.5197772979736,True,True,2000.0,250.0,2065.5626561641693,59.933404207229614,no,11631,1,57,F,2026-04-07_13-47-08
12,5,baseline,baseline,12,1,27,46,3,left,right,1,575.3505229949951,True,False,2000.0,250.0,2070.3995356559753,64.77028346061707,no,11631,1,57,F,2026-04-07_13-47-08
13,5,baseline,baseline,13,1,27,46,3,left,right,2,955.157995223999,False,False,2000.0,250.0,2075.6154634952545,69.98621129989624,no,11631,1,57,F,2026-04-07_13-47-08
14,5,baseline,baseline,14,1,27,46,3,right,left,1,838.8149738311768,True,False,2000.0,250.0,2080.7153055667877,75.08605360984802,no,11631,1,57,F,2026-04-07_13-47-08
15,5,baseline,baseline,15,1,27,46,3,left,right,2,1360.0680828094482,False,False,2000.0,250.0,2086.3367631435394,80.70751094818115,no,11631,1,57,F,2026-04-07_13-47-08
16,5,baseline,baseline,16,1,27,46,3,right,left,1,1083.7411880493164,True,False,2000.0,250.0,2091.681499004364,86.05224680900574,no,11631,1,57,F,2026-04-07_13-47-08
17,5,baseline,baseline,17,1,27,46,3,left,right,1,1673.5925674438477,True,True,2000.0,250.0,2097.61620593071,91.98695373535156,no,11631,1,57,F,2026-04-07_13-47-08
18,5,baseline,baseline,18,1,27,46,3,right,left,1,594.7911739349365,True,False,2000.0,250.0,2102.4731075763702,96.84385561943054,no,11631,1,57,F,2026-04-07_13-47-08
19,5,baseline,baseline,19,1,27,46,3,right,left,2,511.72828674316406,False,False,2000.0,250.0,2107.24591755867,101.61666536331177,no,11631,1,57,F,2026-04-07_13-47-08
20,5,baseline,baseline,20,1,27,46,3,left,right,1,1289.081335067749,True,True,2000.0,250.0,2112.7971189022064,107.16786694526672,no,11631,1,57,F,2026-04-07_13-47-08
21,5,baseline,baseline,21,1,27,46,3,right,left,1,414.86573219299316,True,True,2000.0,250.0,2117.4728231430054,111.84357142448425,no,11631,1,57,F,2026-04-07_13-47-08
22,5,baseline,baseline,22,1,27,46,3,left,right,1,1238.645315170288,True,False,2000.0,250.0,2122.972899913788,117.34364795684814,no,11631,1,57,F,2026-04-07_13-47-08
23,5,baseline,baseline,23,1,27,46,3,left,right,2,592.8621292114258,False,False,2000.0,250.0,2127.8268740177155,122.19762206077576,no,11631,1,57,F,2026-04-07_13-47-08
24,5,baseline,baseline,24,1,27,46,3,left,right,1,589.0953540802002,True,True,2000.0,250.0,2132.67685341835,127.04760146141052,no,11631,1,57,F,2026-04-07_13-47-08
25,5,baseline,baseline,25,1,27,46,3,left,right,1,558.7577819824219,True,True,2000.0,250.0,2137.4967188835144,131.8674669265747,no,11631,1,57,F,2026-04-07_13-47-08
26,5,baseline,baseline,26,1,27,46,3,left,right,1,445.559024810791,True,True,2000.0,250.0,2142.2040066719055,136.57475447654724,no,11631,1,57,F,2026-04-07_13-47-08
27,5,baseline,baseline,0,2,28,46,3,left,right,1,580.7275772094727,False,False,2000.0,250.0,2147.0464646816254,141.41721272468567,no,11631,1,57,F,2026-04-07_13-47-08
28,5,baseline,baseline,1,2,28,46,3,right,left,2,477.4291515350342,True,True,2000.0,250.0,2151.785441160202,146.15618896484375,no,11631,1,57,F,2026-04-07_13-47-08
29,5,baseline,baseline,2,2,28,46,3,left,right,2,554.7389984130859,True,True,2000.0,250.0,2156.6016166210175,150.97236466407776,no,11631,1,57,F,2026-04-07_13-47-08
30,5,baseline,baseline,3,2,28,46,3,right,left,2,514.4779682159424,True,True,2000.0,250.0,2161.377742767334,155.7484905719757,no,11631,1,57,F,2026-04-07_13-47-08
31,5,baseline,baseline,4,2,28,46,3,right,left,2,461.5662097930908,True,True,2000.0,250.0,2166.1012744903564,160.47202229499817,no,11631,1,57,F,2026-04-07_13-47-08
32,5,baseline,baseline,5,2,28,46,3,left,right,2,460.2940082550049,True,True,2000.0,250.0,2170.8225977420807,165.19334530830383,no,11631,1,57,F,2026-04-07_13-47-08
33,5,baseline,baseline,6,2,28,46,3,left,right,2,427.11615562438965,True,True,2000.0,250.0,2175.5107815265656,169.88152956962585,no,11631,1,57,F,2026-04-07_13-47-08
34,5,baseline,baseline,7,2,28,46,3,left,right,2,542.100191116333,True,True,2000.0,250.0,2180.314471244812,174.68521904945374,no,11631,1,57,F,2026-04-07_13-47-08
35,5,baseline,baseline,8,2,28,46,3,right,left,2,546.0641384124756,True,True,2000.0,250.0,2185.121556043625,179.49230408668518,no,11631,1,57,F,2026-04-07_13-47-08
36,5,baseline,baseline,9,2,28,46,3,left,right,2,477.7383804321289,True,True,2000.0,250.0,2189.8603780269623,184.23112607002258,no,11631,1,57,F,2026-04-07_13-47-08
37,5,baseline,baseline,10,2,28,46,3,left,right,2,512.284517288208,True,True,2000.0,250.0,2194.633939743042,189.00468754768372,no,11631,1,57,F,2026-04-07_13-47-08
38,5,baseline,baseline,11,2,28,46,3,left,right,2,478.4665107727051,True,False,2000.0,250.0,2199.373902797699,193.74465107917786,no,11631,1,57,F,2026-04-07_13-47-08
39,5,baseline,baseline,12,2,28,46,3,right,left,1,557.8341484069824,False,True,2000.0,250.0,2204.192924261093,198.56367230415344,no,11631,1,57,F,2026-04-07_13-47-08
40,5,baseline,baseline,13,2,28,46,3,left,right,1,494.1678047180176,False,True,2000.0,250.0,2208.948971271515,203.31971955299377,no,11631,1,57,F,2026-04-07_13-47-08
41,5,baseline,baseline,14,2,28,46,3,left,right,1,466.18199348449707,False,False,2000.0,250.0,2213.6766922473907,208.04744029045105,no,11631,1,57,F,2026-04-07_13-47-08
42,5,baseline,baseline,15,2,28,46,3,left,right,2,507.3404312133789,True,False,2000.0,250.0,2218.4450459480286,212.8157937526703,no,11631,1,57,F,2026-04-07_13-47-08
43,5,baseline,baseline,16,2,28,46,3,right,left,1,450.90794563293457,False,False,2000.0,250.0,2223.1565551757812,217.52730321884155,no,11631,1,57,F,2026-04-07_13-47-08
44,5,baseline,baseline,17,2,28,46,3,left,right,2,397.25470542907715,True,False,2000.0,250.0,2227.8151862621307,222.18593406677246,no,11631,1,57,F,2026-04-07_13-47-08
45,5,baseline,baseline,18,2,28,46,3,right,left,1,694.64111328125,False,False,2000.0,250.0,2232.7703850269318,227.1411328315735,no,11631,1,57,F,2026-04-07_13-47-08
46,5,baseline,baseline,19,2,28,46,3,left,right,2,1003.6783218383789,True,True,2000.0,250.0,2238.0350420475006,232.40578985214233,no,11631,1,57,F,2026-04-07_13-47-08
47,5,baseline,baseline,20,2,28,46,3,left,right,2,444.64111328125,True,True,2000.0,250.0,2242.7405610084534,237.1113088130951,no,11631,1,57,F,2026-04-07_13-47-08
48,5,baseline,baseline,21,2,28,46,3,right,left,2,510.4837417602539,True,True,2000.0,250.0,2247.5122792720795,241.88302755355835,no,11631,1,57,F,2026-04-07_13-47-08
49,5,baseline,baseline,22,2,28,46,3,left,right,2,483.42037200927734,True,True,2000.0,250.0,2252.257996559143,246.6287443637848,no,11631,1,57,F,2026-04-07_13-47-08
50,5,baseline,baseline,23,2,28,46,3,right,left,2,514.3082141876221,True,False,2000.0,250.0,2257.0334634780884,251.40421271324158,no,11631,1,57,F,2026-04-07_13-47-08
51,5,baseline,baseline,24,2,28,46,3,right,left,1,465.3816223144531,False,True,2000.0,250.0,2261.760298013687,256.13104605674744,no,11631,1,57,F,2026-04-07_13-47-08
52,5,baseline,baseline,25,2,28,46,3,left,right,1,552.422285079956,False,True,2000.0,250.0,2266.573977470398,260.9447252750397,no,11631,1,57,F,2026-04-07_13-47-08
53,5,baseline,baseline,26,2,28,46,3,right,left,1,620.2082633972168,False,False,2000.0,250.0,2271.4550998210907,265.825847864151,no,11631,1,57,F,2026-04-07_13-47-08
54,5,baseline,baseline,27,2,28,46,3,left,right,2,500.5519390106201,True,True,2000.0,250.0,2276.2162294387817,270.58697724342346,no,11631,1,57,F,2026-04-07_13-47-08
55,5,baseline,baseline,0,1,26,46,3,left,right,2,467.3736095428467,False,False,2000.0,250.0,2280.9446835517883,275.31543159484863,no,11631,1,57,F,2026-04-07_13-47-08
56,5,baseline,baseline,1,1,26,46,3,left,right,1,467.3194885253906,True,True,2000.0,250.0,2285.674031019211,280.0447793006897,no,11631,1,57,F,2026-04-07_13-47-08
57,5,baseline,baseline,2,1,26,46,3,left,right,1,591.7928218841553,True,False,2000.0,250.0,2290.526799917221,284.8975479602814,no,11631,1,57,F,2026-04-07_13-47-08
