trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
0,2,stimulation,active,0,2,29,36,1,right,left,2.0,2000.169277191162,True,True,2000.0,250.0,692.6581468582153,6.212386846542358,1432,1,31,m,2026-01-14_20-43-13
1,2,stimulation,active,1,2,29,36,1,right,left,2.0,383.23497772216797,True,True,2000.0,250.0,697.2528417110443,10.807081460952759,1432,1,31,m,2026-01-14_20-43-13
2,2,stimulation,active,2,2,29,36,1,left,right,,,,,2000.0,250.0,702.9714977741241,16.525737524032593,1432,1,31,m,2026-01-14_20-43-13
3,2,stimulation,active,3,2,29,36,1,left,right,,,,,2000.0,250.0,708.6962213516235,22.25046157836914,1432,1,31,m,2026-01-14_20-43-13
4,2,stimulation,active,4,2,29,36,1,right,left,,,,,2000.0,250.0,714.4113199710846,27.965561389923096,1432,1,31,m,2026-01-14_20-43-13
5,2,stimulation,active,5,2,29,36,1,left,right,,,,,2000.0,250.0,720.1331045627594,33.68734407424927,1432,1,31,m,2026-01-14_20-43-13
6,2,stimulation,active,6,2,29,36,1,left,right,,,,,2000.0,250.0,725.847767829895,39.40200757980347,1432,1,31,m,2026-01-14_20-43-13
7,2,stimulation,active,7,2,29,36,1,left,right,1.0,267.6706314086914,False,False,2000.0,250.0,730.3765230178833,43.93076276779175,1432,1,31,m,2026-01-14_20-43-13
8,2,stimulation,active,8,2,29,36,1,right,left,2.0,250.5946159362793,True,True,2000.0,250.0,734.8886065483093,48.44284725189209,1432,1,31,m,2026-01-14_20-43-13
9,2,stimulation,active,9,2,29,36,1,right,left,2.0,66.47944450378418,True,True,2000.0,250.0,739.2151687145233,52.769407749176025,1432,1,31,m,2026-01-14_20-43-13
10,2,stimulation,active,10,2,29,36,1,right,left,,,,,2000.0,250.0,744.990208864212,58.54444861412048,1432,1,31,m,2026-01-14_20-43-13
11,2,stimulation,active,11,2,29,36,1,right,left,2.0,33.49161148071289,True,True,2000.0,250.0,749.2841455936432,62.83838486671448,1432,1,31,m,2026-01-14_20-43-13
12,2,stimulation,active,12,2,29,36,1,right,left,,,,,2000.0,250.0,755.0440084934235,68.59824800491333,1432,1,31,m,2026-01-14_20-43-13
13,2,stimulation,active,13,2,29,36,1,left,right,1.0,67.92473793029785,False,False,2000.0,250.0,759.3724303245544,72.92667031288147,1432,1,31,m,2026-01-14_20-43-13
14,2,stimulation,active,14,2,29,36,1,left,right,1.0,495.88823318481445,False,True,2000.0,250.0,764.1283740997314,77.68261432647705,1432,1,31,m,2026-01-14_20-43-13
15,2,stimulation,active,15,2,29,36,1,left,right,1.0,402.28724479675293,False,False,2000.0,250.0,768.7914917469025,82.34573125839233,1432,1,31,m,2026-01-14_20-43-13
16,2,stimulation,active,16,2,29,36,1,left,right,,,,,2000.0,250.0,774.5616357326508,88.11587524414062,1432,1,31,m,2026-01-14_20-43-13
17,2,stimulation,active,17,2,29,36,1,right,left,2.0,51.28741264343262,True,True,2000.0,250.0,778.8735482692719,92.42778706550598,1432,1,31,m,2026-01-14_20-43-13
18,2,stimulation,active,18,2,29,36,1,right,left,2.0,351.73654556274414,True,False,2000.0,250.0,783.4862945079803,97.04053378105164,1432,1,31,m,2026-01-14_20-43-13
19,2,stimulation,active,19,2,29,36,1,right,left,2.0,250.7922649383545,True,False,2000.0,250.0,787.9970126152039,101.5512523651123,1432,1,31,m,2026-01-14_20-43-13
20,2,stimulation,active,20,2,29,36,1,left,right,1.0,295.8507537841797,False,False,2000.0,250.0,792.5541779994965,106.10841751098633,1432,1,31,m,2026-01-14_20-43-13
